Month,Blockchain: (Germany),Artificial intelligence: (Germany),Augmented reality: (Germany)
2004-01,0,65,2
2004-02,0,58,3
2004-03,0,74,2
2004-04,0,65,2
2004-05,0,64,9
2004-06,0,63,5
2004-07,0,70,2
2004-08,0,70,5
2004-09,0,52,5
2004-10,0,61,4
2004-11,0,78,4
2004-12,0,84,2
2005-01,0,61,3
2005-02,0,71,3
2005-03,0,69,2
2005-04,0,62,3
2005-05,0,67,5
2005-06,0,62,3
2005-07,0,66,2
2005-08,0,67,2
2005-09,0,56,3
2005-10,0,68,3
2005-11,0,70,4
2005-12,0,70,3
2006-01,0,66,4
2006-02,0,70,3
2006-03,0,71,2
2006-04,0,68,3
2006-05,0,73,2
2006-06,<1,69,2
2006-07,0,69,2
2006-08,<1,75,2
2006-09,0,74,2
2006-10,0,70,2
2006-11,0,74,3
2006-12,0,69,2
2007-01,0,68,2
2007-02,<1,68,2
2007-03,0,71,2
2007-04,0,72,1
2007-05,0,68,2
2007-06,0,76,2
2007-07,<1,69,3
2007-08,<1,69,3
2007-09,0,68,3
2007-10,0,66,2
2007-11,0,71,2
2007-12,0,72,2
2008-01,0,62,3
2008-02,0,68,3
2008-03,0,65,2
2008-04,0,61,3
2008-05,<1,62,2
2008-06,<1,61,3
2008-07,0,66,2
2008-08,<1,68,2
2008-09,0,62,2
2008-10,0,61,2
2008-11,<1,61,2
2008-12,0,62,2
2009-01,<1,56,3
2009-02,<1,60,3
2009-03,0,59,3
2009-04,0,57,3
2009-05,0,60,4
2009-06,0,60,6
2009-07,0,62,5
2009-08,0,61,6
2009-09,0,59,6
2009-10,<1,58,6
2009-11,<1,59,6
2009-12,<1,59,6
2010-01,<1,63,10
2010-02,<1,64,8
2010-03,<1,61,9
2010-04,<1,56,8
2010-05,0,62,7
2010-06,0,55,7
2010-07,0,54,9
2010-08,<1,63,23
2010-09,0,63,21
2010-10,0,60,15
2010-11,<1,58,16
2010-12,<1,57,19
2011-01,0,66,19
2011-02,<1,62,16
2011-03,0,59,17
2011-04,<1,71,16
2011-05,<1,63,14
2011-06,<1,64,18
2011-07,<1,63,20
2011-08,<1,65,15
2011-09,<1,65,16
2011-10,0,67,14
2011-11,<1,66,15
2011-12,<1,65,17
2012-01,<1,69,19
2012-02,<1,70,15
2012-03,0,66,15
2012-04,<1,65,19
2012-05,<1,62,17
2012-06,<1,62,16
2012-07,<1,61,17
2012-08,<1,58,16
2012-09,<1,59,17
2012-10,<1,64,14
2012-11,<1,58,15
2012-12,<1,59,16
2013-01,<1,60,14
2013-02,<1,58,13
2013-03,1,58,14
2013-04,1,60,13
2013-05,<1,61,12
2013-06,1,57,14
2013-07,1,61,14
2013-08,<1,55,15
2013-09,1,54,12
2013-10,1,59,11
2013-11,3,59,12
2013-12,2,60,15
2014-01,2,68,13
2014-02,3,60,10
2014-03,2,62,10
2014-04,2,60,11
2014-05,1,62,11
2014-06,1,58,10
2014-07,2,60,12
2014-08,2,59,12
2014-09,1,58,9
2014-10,2,57,11
2014-11,2,58,11
2014-12,1,58,12
2015-01,2,60,10
2015-02,2,60,9
2015-03,2,64,9
2015-04,2,59,10
2015-05,2,61,10
2015-06,3,59,11
2015-07,2,59,8
2015-08,3,63,9
2015-09,4,56,8
2015-10,4,59,9
2015-11,5,59,8
2015-12,6,63,8
2016-01,6,61,8
2016-02,6,66,8
2016-03,6,70,9
2016-04,7,65,9
2016-05,8,65,8
2016-06,10,65,8
2016-07,8,59,30
2016-08,9,57,11
2016-09,9,65,9
2016-10,11,69,10
2016-11,12,70,10
2016-12,11,74,9
2017-01,13,72,10
2017-02,14,72,9
2017-03,17,71,10
2017-04,14,72,10
2017-05,23,74,10
2017-06,27,71,12
2017-07,25,74,10
2017-08,27,73,10
2017-09,32,72,18
2017-10,38,82,16
2017-11,57,82,23
2017-12,69,80,14
2018-01,61,85,12
2018-02,46,83,13
2018-03,39,80,13
2018-04,36,80,14
2018-05,39,84,13
2018-06,32,82,13
2018-07,31,77,13
2018-08,27,75,11
2018-09,27,81,13
2018-10,28,100,15
2018-11,31,97,14
2018-12,20,86,11
2019-01,28,91,12
2019-02,24,96,13
2019-03,20,96,12
2019-04,21,99,13
2019-05,22,98,12
2019-06,22,91,13
