Month,Blockchain: (India),Artificial intelligence: (India),Augmented reality: (India)
2004-01,0,77,3
2004-02,0,100,0
2004-03,0,76,2
2004-04,0,68,0
2004-05,0,53,1
2004-06,0,45,1
2004-07,0,74,5
2004-08,0,88,3
2004-09,0,70,2
2004-10,0,69,2
2004-11,0,65,3
2004-12,0,58,0
2005-01,0,70,2
2005-02,0,69,3
2005-03,0,55,2
2005-04,0,54,0
2005-05,0,42,1
2005-06,0,34,1
2005-07,1,55,1
2005-08,0,56,2
2005-09,0,58,4
2005-10,0,56,2
2005-11,1,47,2
2005-12,0,49,1
2006-01,0,51,1
2006-02,0,46,2
2006-03,0,42,1
2006-04,0,40,1
2006-05,0,33,1
2006-06,1,37,0
2006-07,0,37,1
2006-08,0,38,1
2006-09,0,46,2
2006-10,0,43,1
2006-11,0,38,1
2006-12,0,30,2
2007-01,0,42,1
2007-02,0,46,2
2007-03,0,40,2
2007-04,0,33,1
2007-05,0,29,1
2007-06,0,26,1
2007-07,0,30,2
2007-08,0,38,1
2007-09,0,41,2
2007-10,0,35,1
2007-11,0,36,2
2007-12,0,31,1
2008-01,0,32,1
2008-02,0,38,2
2008-03,0,37,2
2008-04,0,29,1
2008-05,0,22,1
2008-06,0,25,1
2008-07,0,30,1
2008-08,0,36,2
2008-09,0,33,2
2008-10,0,27,1
2008-11,0,26,2
2008-12,0,24,1
2009-01,0,33,1
2009-02,0,33,2
2009-03,0,29,2
2009-04,0,28,2
2009-05,<1,24,2
2009-06,0,23,2
2009-07,<1,27,2
2009-08,<1,31,2
2009-09,<1,32,2
2009-10,<1,27,2
2009-11,0,27,1
2009-12,<1,25,3
2010-01,0,29,3
2010-02,<1,32,3
2010-03,<1,25,3
2010-04,0,27,3
2010-05,0,26,2
2010-06,0,16,2
2010-07,0,20,2
2010-08,0,25,3
2010-09,0,25,3
2010-10,<1,22,3
2010-11,0,24,3
2010-12,0,22,3
2011-01,0,23,3
2011-02,<1,24,3
2011-03,0,23,3
2011-04,0,23,3
2011-05,<1,19,2
2011-06,0,18,2
2011-07,0,19,3
2011-08,0,22,3
2011-09,0,24,3
2011-10,<1,24,3
2011-11,0,25,3
2011-12,0,23,3
2012-01,<1,24,3
2012-02,<1,23,3
2012-03,0,22,3
2012-04,<1,20,3
2012-05,<1,17,3
2012-06,0,16,3
2012-07,<1,17,3
2012-08,<1,18,3
2012-09,<1,19,3
2012-10,<1,18,3
2012-11,0,18,3
2012-12,<1,16,3
2013-01,<1,19,3
2013-02,<1,21,3
2013-03,<1,18,4
2013-04,<1,17,3
2013-05,<1,16,3
2013-06,<1,15,3
2013-07,<1,16,3
2013-08,<1,17,3
2013-09,<1,17,3
2013-10,<1,17,3
2013-11,<1,19,3
2013-12,<1,16,2
2014-01,<1,16,3
2014-02,<1,17,3
2014-03,<1,17,3
2014-04,<1,18,3
2014-05,<1,16,2
2014-06,<1,15,2
2014-07,<1,17,3
2014-08,<1,20,3
2014-09,<1,46,3
2014-10,<1,23,3
2014-11,<1,22,3
2014-12,<1,23,2
2015-01,<1,42,3
2015-02,<1,28,3
2015-03,<1,21,3
2015-04,<1,21,3
2015-05,<1,21,2
2015-06,<1,18,3
2015-07,<1,19,2
2015-08,<1,19,3
2015-09,<1,19,3
2015-10,1,19,3
2015-11,2,20,3
2015-12,1,21,2
2016-01,1,20,3
2016-02,1,21,3
2016-03,1,20,3
2016-04,2,21,3
2016-05,2,22,2
2016-06,2,21,3
2016-07,2,19,5
2016-08,2,22,3
2016-09,2,23,3
2016-10,3,23,3
2016-11,3,25,3
2016-12,3,25,3
2017-01,3,27,4
2017-02,4,27,4
2017-03,5,29,3
2017-04,4,29,3
2017-05,5,31,3
2017-06,5,29,3
2017-07,5,31,4
2017-08,7,35,4
2017-09,8,35,5
2017-10,8,33,4
2017-11,11,35,4
2017-12,14,34,4
2018-01,12,35,4
2018-02,12,35,5
2018-03,10,37,4
2018-04,9,33,4
2018-05,8,35,4
2018-06,8,33,4
2018-07,8,36,4
2018-08,9,35,4
2018-09,8,34,4
2018-10,7,32,4
2018-11,7,32,4
2018-12,6,30,3
2019-01,7,33,3
2019-02,7,34,4
2019-03,6,31,4
2019-04,5,31,3
2019-05,5,33,3
2019-06,6,32,3
